text,id,label,Abusive,Affectionate,Lyrics,Self,Adult,Not English,Other
I don't like that bitch. show her this too,045,1.0,1,0,0,0,0,0,0
But all you got is some fucking issues you fucking bitch,046,1.0,1,0,0,0,0,0,0
😂😂😂😂😂😂 lil bitch,047,1.0,1,0,0,0,0,0,0
I'm a boss bitch my shirt BOSS bitch,048,4.0,0,0,0,1,0,0,0
This bitch kedreii 😑😑😑😑😂,049,2.0,0,1,0,0,0,0,0
I don't like the bitch. Not more to say.,050,1.0,1,0,0,0,0,0,0
My bitch sat right in the house while I went to the day party 💪🏽💪🏽💪🏽😂😂😂,051,1.0,1,0,0,0,0,0,0
I got caviar wit a bad bitch,052,1.0,1,0,0,0,0,0,0
Bitch you thought 😂😂😂😂,053,2.0,0,1,0,0,0,0,0
"not a weak bitch no more cos i am the ninja, bitch named ginger, hope somebody gotta a couple limbs they can lend ya",055,1.0,1,0,0,0,0,0,0
"when your friends say ""I have no friends"" like bitch what am I?",056,1.0,1,0,0,0,0,0,0
I know a hoe when I see one,057,1.0,1,0,0,0,0,0,0
I'm a boss ass bitch bitch bitch bitch 😎,058,4.0,0,0,0,1,0,0,0
Does it hurt like a fucking bitch,059,1.0,1,0,0,0,0,0,0
U a Hoe to ur heart,060,1.0,1,0,0,0,0,0,0
Such a cunt trying to get into this fucking disaster,061,1.0,1,0,0,0,0,0,0
Got this dirty ass bitch over here,062,1.0,1,0,0,0,0,0,0
I have so much proof that you're just gonna be fucked over but you're a cunt so I'll sit back and watch it all crumble around you,063,1.0,1,0,0,0,0,0,0
when u have a wound and u thINK WHERE THE FUCK DID U COME FROM U LITTLE BITCH,064,1.0,1,0,0,0,0,0,0
"like bitch , stop talking to me !",065,1.0,1,0,0,0,0,0,0
FUCK YOU YOU STUPID ASS BITCH,066,1.0,1,0,0,0,0,0,0
ahk a wild vicious ass bitch,067,1.0,1,0,0,0,0,0,0
That bitch ain't got nothing on me ...,069,1.0,1,0,0,0,0,0,0
Like bitch if you don't get.,071,1.0,1,0,0,0,0,0,0
@bigsteeeez I called your bitch ass today,072,2.0,0,1,0,0,0,0,0
I'm me How can a bitch say no to me?? 😂,073,1.0,1,0,0,0,0,0,0
I'm good on the hoe shit,074,1.0,1,0,0,0,0,0,0
@sammywilk bitch. it's 12:52am where i'm at!,076,1.0,1,0,0,0,0,0,0
i just fucked your bitch in some gucci flip flops,077,1.0,1,0,0,0,0,0,0
Bitch move from the sunlight. l hate the smell of burning plastic.,078,1.0,1,0,0,0,0,0,0
nut in her mouth then i kick the bitch out,079,1.0,1,0,0,0,0,0,0
He's doing that he's one crazy son of a bitch,080,1.0,1,0,0,0,0,0,0
Some people bitch way to much,081,1.0,1,0,0,0,0,0,0
@elle_lee__ thanks my bitch love you❤️,082,2.0,0,1,0,0,0,0,0
"and just like that, I'm over your bitch ass",083,1.0,1,0,0,0,0,0,0
Fuck u bitch u need me #FlyShitOnly,084,1.0,1,0,0,0,0,0,0
@moidanieles miss u love u bitch,085,2.0,0,1,0,0,0,0,0
@MyaKuSoe fuck around like a hoe,086,1.0,1,0,0,0,0,0,0
@BrittnyImani dead tryna have one like my bitch needa be lit all day for her bday 💁🏽,087,2.0,0,1,0,0,0,0,0
should I be a bitch about it or let it go 🤔,089,4.0,0,0,0,1,0,0,0
It's my bitch birthday turn up @aniphiaaa_,090,2.0,0,1,0,0,0,0,0
Like can I stop being a little bitch or ?,091,4.0,0,0,0,1,0,0,0
"She said ""ilovecristian"" I was like bitch I'm not Makonnen",092,1.0,1,0,0,0,0,0,0
123 Bitch  #MTVStars Britney Spears * Lana Del Rey,093,7.0,0,0,0,0,0,0,1
@_adoreeniyaa bitch 😂😂😂💀,094,1.0,1,0,0,0,0,0,0
"#MTVStars Selena Gomez  🔮 Lana Del Rey 🔮 Britney Spears 🔮  Nicki Minaj 🔮 Demi Lovato
bitch!!39sdas",095,2.0,0,1,0,0,0,0,0
Bitch I don't fuck w/ you,096,1.0,1,0,0,0,0,0,0
"""I'm not a do-nothing bitch"" Yes, @RondaRousey. Yes. #2020",097,7.0,0,0,0,0,0,0,1
Taking pictures with him ha you fake ass bitch,098,1.0,1,0,0,0,0,0,0
I hate hoe ass niggas,099,1.0,1,0,0,0,0,0,0
"Don't watch me, watch yo nigga hoe",100,1.0,1,0,0,0,0,0,0
Feel like being an emotionless bitch.💁🏽,101,4.0,0,0,0,1,0,0,0
"Britney Bitch!
#MTVStars Britney Spears
9neyy1",102,3.0,0,0,1,0,0,0,0
Bitches always wanna talk about what my nigga did in the past! Bitch u was a hoe in the past &amp; I stood by you 🤔,103,1.0,1,0,0,0,0,0,0
Awwwee man I got his bitch depressed,104,1.0,1,0,0,0,0,0,0
@bossmpr__ I'm tryna fuck yo bitch,105,1.0,1,0,0,0,0,0,0
Hoe ass niggas I tell yah!🙅🏾🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽,106,1.0,1,0,0,0,0,0,0
From every song to every tweet bitch you copying!,107,1.0,1,0,0,0,0,0,0
That Bitch Crazy .. No No No 😴,108,1.0,1,0,0,0,0,0,0
@_nathaniiiel fuck u fat cunt,109,1.0,1,0,0,0,0,0,0
@KISSSMYY___ no tf I'm not bitch 😂,110,1.0,1,0,0,0,0,0,0
I fukked that bitch she popped that pussy like a handstand,111,1.0,1,0,0,0,0,0,0
Bitches be lookin for a come up bitch be yo own come up,113,1.0,1,0,0,0,0,0,0
we got that bitch don't play,114,1.0,1,0,0,0,0,0,0
I need a bad bitch in my life,115,2.0,0,1,0,0,0,0,0
YES BITCH 👏🏽👏🏽👏🏽 #MadeInTheAM,116,7.0,0,0,0,0,0,0,1
"@Rodriguez1606 @GT_Ent720 then why even go hoe, im real hurt rn. That could have been me actually contributing to conversation lol",117,1.0,1,0,0,0,0,0,0
new header follow the cunt @kamoghoul,118,1.0,1,0,0,0,0,0,0
"@xiramb happy birthday bitch, love ya😘",119,2.0,0,1,0,0,0,0,0
@RJakaGunner when yo hoe ass get a him? Lol,120,2.0,0,1,0,0,0,0,0
@OBJ_3 soft ass bitch,121,1.0,1,0,0,0,0,0,0
Got a bitch with an attitude problem,122,1.0,1,0,0,0,0,0,0
"snitch, bitch, snitchin ass bitch and you know it.",123,1.0,1,0,0,0,0,0,0
Fuck ugly ass bitch,124,1.0,1,0,0,0,0,0,0
"giiiirrll, u a dumb ass bitch",125,1.0,1,0,0,0,0,0,0
Wtf💀💀 this bitch said her hand is cut,126,1.0,1,0,0,0,0,0,0
Like fuck shit bitch no,127,1.0,1,0,0,0,0,0,0
"Fuck you, I got a new bitch now",128,1.0,1,0,0,0,0,0,0
....Yeah im rich bitch,129,3.0,0,0,1,0,0,0,0
#RIHvember is fucking here!!! I'M READY BITCH,130,7.0,0,0,0,0,0,0,1
bitch better get your own life .,131,1.0,1,0,0,0,0,0,0
You be pressed to fuck a bitch on her period of course the shit ain't gonna smell like roses 👀😂😂😂 like ok nigga you ain't hurting me Lmaoo,132,1.0,1,0,0,0,0,0,0
Man that hoe be ain't the same shit,133,1.0,1,0,0,0,0,0,0
Around Here ☝🏽👇🏽👈🏽👉🏽 Bitch I Run This Shit.,134,1.0,1,0,0,0,0,0,0
What's mine is mine remember that bitch,135,1.0,1,0,0,0,0,0,0
@thereal_rc3 go back to sleep bitch,137,1.0,1,0,0,0,0,0,0
I be like shut your bitch ass up #S,138,1.0,1,0,0,0,0,0,0
I Got another nigga bitch with me,139,1.0,1,0,0,0,0,0,0
Fuck that bitch ass nigga !,140,2.0,0,1,0,0,0,0,0
#NormaniDefenseSquad 💪💪 oh my god what a stupid bitch,141,1.0,1,0,0,0,0,0,0
"Bitch I'm good , always",142,1.0,1,0,0,0,0,0,0
"She a bitch but I'm a dog , yeahyeah 🐶",144,1.0,1,0,0,0,0,0,0
@yungfetuss u my main them my side hoe$,145,1.0,1,0,0,0,0,0,0
Baby Racoon Lookinq ass bitch 😂,147,1.0,1,0,0,0,0,0,0
Bitch who da fuck is youuuuu,148,1.0,1,0,0,0,0,0,0
this bitch is fucking disgusting😖 I can't with my friends,149,1.0,1,0,0,0,0,0,0
Why you tryna beef w/ me yo goof ass from the burbs bitch !,150,1.0,1,0,0,0,0,0,0
@Meowstical the fuck is so funny you fucking cunt,151,1.0,1,0,0,0,0,0,0
@onyourthrone BITCH WHEN U GET BACK,152,1.0,1,0,0,0,0,0,0
@fernrfcx it's a bit early to be signing on tell the cunt!,153,1.0,1,0,0,0,0,0,0
@lcbs_ I did bitch ! Get off your damn phone,154,1.0,1,0,0,0,0,0,0
My bitch ass ex is on some other shit,155,1.0,1,0,0,0,0,0,0
I had to put that lil bitch in her place,156,1.0,1,0,0,0,0,0,0
@misguidedLight I'M A FREE BITCH BABY,157,1.0,1,0,0,0,0,0,0
I still don't like that bitch,158,4.0,0,0,0,1,0,0,0
"He's a slut, he's s hoe, he's a freak, got a different girl every day of the week.",159,1.0,1,0,0,0,0,0,0
"I don't like handjobs, bitch I like head",160,3.0,0,0,1,0,0,0,0
I hate bitch made niggas,162,1.0,1,0,0,0,0,0,0
I'm with the bitch I don't need the bitch !,163,1.0,1,0,0,0,0,0,0
You don't want me bitch I'm flustered,164,1.0,1,0,0,0,0,0,0
"She said ""ilovecristian"" I was like bitch I'm not Makonnen",165,1.0,1,0,0,0,0,0,0
@HateOnLexxx bitch I'm going out when I get off,166,1.0,1,0,0,0,0,0,0
@BaddieeJ_  bitch I'm hollering 😭,167,1.0,1,0,0,0,0,0,0
"But payback's a bitch motherfucker, believe me",168,1.0,1,0,0,0,0,0,0
when that bitch wanna fight but was scared to fight you before ☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️,169,1.0,1,0,0,0,0,0,0
@jaimecxo YES BITCH I LOVE U,170,1.0,1,0,0,0,0,0,0
I'm finna go off in this bitch,171,2.0,0,1,0,0,0,0,0
@TommyJoe__ @_OhThereSheGo y'all some hoe ass niggas,172,1.0,1,0,0,0,0,0,0
Real nigga talkinnnnn. Stfu hoe.,173,1.0,1,0,0,0,0,0,0
"""@babetexts: me: i want to travel

bank account: bitch, where?""",174,1.0,1,0,0,0,0,0,0
@JermBuggg bitch I know you seen my text,175,1.0,1,0,0,0,0,0,0
Cause I'm the bitch to get nauseous,176,1.0,1,0,0,0,0,0,0
I hate it so much when girls bitch about other girls stfuuuuu,177,4.0,0,0,0,1,0,0,0
LUH DUMB BITCH ‼️‼️‼️,178,1.0,1,0,0,0,0,0,0
10.1 Bitch Better Have My Money $ #MTVStars #MTVStarOf2015 Rihanna 🍕  Lady Gaga 🍕  Nicki Minaj,179,1.0,1,0,0,0,0,0,0
Don't do shit you wouldn't want your bitch to do,180,3.0,0,0,1,0,0,0,0
can't argue with a bitch that's not on my level,181,1.0,1,0,0,0,0,0,0
where is my mom bitch I'm starving,182,1.0,1,0,0,0,0,0,0
my bitch white but my cock black,184,1.0,1,0,0,0,0,0,0
This bitch got one more time !,185,1.0,1,0,0,0,0,0,0
This bitch just wants everyone to like her,186,1.0,1,0,0,0,0,0,0
A dolla might fuck yo bitch,187,1.0,1,0,0,0,0,0,0
@ceeeanemone @sta_xoxox @BestAcapellaas @OverlyManlyMF I'm a broke ass bitch,188,1.0,1,0,0,0,0,0,0
@bookabadass who over der wit dat hoe,189,4.0,0,0,0,1,0,0,0
Got rid of my old bitch,190,1.0,1,0,0,0,0,0,0
Take A Nigga Bitch &amp; Give Ha Baxc,191,1.0,1,0,0,0,0,0,0
I know they think I'm a BITCH,192,1.0,1,0,0,0,0,0,0
stupid ass fuckin bitch,193,4.0,0,0,0,1,0,0,0
nobody likes a hoe that fucks every dude ever,194,1.0,1,0,0,0,0,0,0
I just need you to do for me what I need you to do for me and I'ma come through when you need me bitch.,195,1.0,1,0,0,0,0,0,0
"""bro THIS GIRL A BAD BITCH""",196,1.0,1,0,0,0,0,0,0
@SlayEnya I got money for MAC BITCH,197,2.0,0,1,0,0,0,0,0
"Britney Bitch!
#MTVStars Iggy Azalea 🚀 Lana Del Rey 🚀 Britney Spears 🚀 Demi Lovato 🚀 Selena Gomez
xxxx26",198,1.0,1,0,0,0,0,0,0
Chill chill you makin a mess hoe,199,2.0,0,1,0,0,0,0,0
@SmudSavage_ get yo bitch ass up nigga,200,1.0,1,0,0,0,0,0,0
"""Bitch u ain't Shit """,201,1.0,1,0,0,0,0,0,0
Bitch you wasn't with me shootin' in the gym!,202,1.0,1,0,0,0,0,0,0
Oo I hate this bitch 😡😤,203,1.0,1,0,0,0,0,0,0
""" YOU'ON KNOW NAAN HOE (uh uh) """,204,1.0,1,0,0,0,0,0,0
this bitch yo 😂🙄🙄🙄,206,1.0,1,0,0,0,0,0,0
Little ass Hoe lmao,207,1.0,1,0,0,0,0,0,0
I'm such a bitch today. Beware.,208,1.0,1,0,0,0,0,0,0
still on top pretty bitch gang!,209,4.0,0,0,0,1,0,0,0
@Landoee_Staxx yea I ain't like that hoe bro bro,211,1.0,1,0,0,0,0,0,0
"snitch 👋
bitch 👋
snitching ass bitch 👋",212,1.0,1,0,0,0,0,0,0
When a bitch nigga want u,213,1.0,1,0,0,0,0,0,0
Snitch bitch snitching ass bitch.  #Empire,215,1.0,1,0,0,0,0,0,0
@RenzoDonquixote YASSSSS SLAY BITCH SLAY #RENZOHIVE WE OUTCHEA,216,1.0,1,0,0,0,0,0,0
I know imma get my bitch backkkk,217,7.0,0,0,0,0,0,0,1
@Jassey_Jay lol bitch you know 😂,218,1.0,1,0,0,0,0,0,0
@airodddd @desseraae fuck it Ima bitch 😂,219,1.0,1,0,0,0,0,0,0
Yessssssss I'm out this bitch 😊😊😊,220,1.0,1,0,0,0,0,0,0
@ssssuuuuppp 😂😭😭😭 you a hoe,222,1.0,1,0,0,0,0,0,0
@AngelMitzuki Don't you fucking call me that whore!,223,1.0,1,0,0,0,0,0,0
"""I'm gonna fuck your bitch~"" #MelonsBot",224,1.0,1,0,0,0,0,0,0
@I_chasney Bitch 😒 Then I don't want it,225,1.0,1,0,0,0,0,0,0
I'm sorry I called you a bitch,226,7.0,0,0,0,0,0,0,1
I can't fuck with hoe niggas,227,7.0,0,0,0,0,0,0,1
"you're a Bitch
you're a Bit
you're a
Youre
You 
Yo
Y
Yo
You
Youre
you're a
you're a Bi
you're a Bitch

Oh look ,you're still a Bitch.",228,1.0,1,0,0,0,0,0,0
I don't trust no nigga or bitch,229,1.0,1,0,0,0,0,0,0
"""I dont want to get in between them""- Carson's a bitch.",230,1.0,1,0,0,0,0,0,0
"i got $40 worth of shit out of rite aid the old bitch told me $8.23 , god is good mannnnn😩😩😩😩🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽",232,1.0,1,0,0,0,0,0,0
@5s0spal she was a bitch #MTVSTARS 5 Seconds Of Summer,233,1.0,1,0,0,0,0,0,0
"@LimonChique gotta main bitch, gotta mistress",234,1.0,1,0,0,0,0,0,0
@_shayla2timess bitch who told you to get a new number &amp; not give it to me,235,1.0,1,0,0,0,0,0,0
@urgfalbina then don't look at it dumb bitch,236,1.0,1,0,0,0,0,0,0
@NickiDupre @Pitchside_Mark Autocorrect is a bitch 😄😄😄,237,1.0,1,0,0,0,0,0,0
If she's joe she's a hoe 💯,238,7.0,0,0,0,0,0,0,1
Them bitch ass talking shit,239,1.0,1,0,0,0,0,0,0
It's not uncommon for a hoe to get recognition,240,1.0,1,0,0,0,0,0,0
you are a bad bitch and damn I like that,241,1.0,1,0,0,0,0,0,0
that ain't my bitch that's my nigga @khamill18,242,2.0,0,1,0,0,0,0,0
"you were my cup of tea.. 😔
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀NOW I SIP LEAN BITCH! FUCK YOU MEAN GANG GANG GANG IN THIS BITCH",243,2.0,0,1,0,0,0,0,0
Yo bitch wanna suck the codeine out a nigga,244,3.0,0,0,1,0,0,0,0
"fill my cup, bitch go fill my cup yeah",245,1.0,1,0,0,0,0,0,0
@olddirtymikey BITCH IM DOWN FUCK U,247,1.0,1,0,0,0,0,0,0
Bitch can't tell me shit,248,1.0,1,0,0,0,0,0,0
"Thinking like a nigga, so I don't get played like a bitch",249,1.0,1,0,0,0,0,0,0
@amyrod_ @angelao9_ @hoeverses guess that means Angie a hoe..,250,4.0,0,0,0,1,0,0,0
when u a pussy ass bitch,251,1.0,1,0,0,0,0,0,0
"""You look mean"" 
Bitch I am mean. Bye.",252,1.0,1,0,0,0,0,0,0
actually you're right because you're a bitch,253,4.0,0,0,0,1,0,0,0
@HiiipowerDaidai come open the door bitch,254,1.0,1,0,0,0,0,0,0
Boss Bitch only worried about 💎💰💵💵💵,255,1.0,1,0,0,0,0,0,0
go get you some money hoe!!,256,1.0,1,0,0,0,0,0,0
You have to show the modern hoe a little appreciation,257,1.0,1,0,0,0,0,0,0
Get Off At 9 Like A Hoe,259,1.0,1,0,0,0,0,0,0
It's rainin like a bitch. But where my bitch. I need my bitch.,260,3.0,0,0,1,0,0,0,0
"I may argue , fight &amp; cry over the bitch but we make it work at the end of the day",261,7.0,0,0,0,0,0,0,1
I'm one sexy bitch,262,2.0,0,1,0,0,0,0,0
@__JaiMonroe 😂 bitch u do it any other day,263,4.0,0,0,0,1,0,0,0
Looking like Popeye. Yo bitch love the semen,264,1.0,1,0,0,0,0,0,0
@MayKayParade i know but i hate him he's a cunt,265,1.0,1,0,0,0,0,0,0
"Bitch, you ain't got shit on me",266,1.0,1,0,0,0,0,0,0
my main bitch and my side bitch mad at me,267,1.0,1,0,0,0,0,0,0
"What do u get out of calling your girl, my bitch?",269,1.0,1,0,0,0,0,0,0
That's some hoe shit ..,270,1.0,1,0,0,0,0,0,0
"im on some bitch im mel, shit",271,1.0,1,0,0,0,0,0,0
fuck that bloodwork hurt like a bitch,272,1.0,1,0,0,0,0,0,0
Man that hoe be ain't the same shit,273,7.0,0,0,0,0,0,0,1
@jossiell_g go u lil bitch,274,1.0,1,0,0,0,0,0,0
"Britney Bitch!
#MTVStars Iggy Azalea 🚀 Lana DeI Rey 🚀 Britney Spears 🚀 Demi Lovato 🚀 Selena Gomez
xxx--48",275,1.0,1,0,0,0,0,0,0
"""Fuck that bitch"" 😂😂😂👏🏻👏🏻👏🏻",276,2.0,0,1,0,0,0,0,0
Bitch I'm BLIK for life😈,277,1.0,1,0,0,0,0,0,0
Get the fuck away bitch,278,4.0,0,0,0,1,0,0,0
@ItsNigelMurray I was gonna come tell you bitch,279,1.0,1,0,0,0,0,0,0
"Yall bitch niggas, yall fugazi",280,1.0,1,0,0,0,0,0,0
you got the right lil bitch !,281,1.0,1,0,0,0,0,0,0
@ItsNickBean I'm In school you bitch,283,2.0,0,1,0,0,0,0,0
@Promethazinee_ where u at bitch i hit your line u aint answer i wanted to hit marina !,284,1.0,1,0,0,0,0,0,0
@TheeKiwanLear Nah she's a bad bitch,285,1.0,1,0,0,0,0,0,0
Tell a bitch I said fuck you,286,1.0,1,0,0,0,0,0,0
Idc how many fights me and him get in he's still my baby and no bitch is gone change that so all these bitches needa hop off💯,287,1.0,1,0,0,0,0,0,0
Tell me everything so a bitch can't tell me Shit.,288,1.0,1,0,0,0,0,0,0
Half bitch half sweetheart ☺️,289,1.0,1,0,0,0,0,0,0
pull up hop out your bitch she on dick,290,2.0,0,1,0,0,0,0,0
@Romo_Numba_Nine Free Kadoe Bitch ❗️❗️💯,291,1.0,1,0,0,0,0,0,0
Pandora tryna get a bitch but I ain't witttt itttt,292,1.0,1,0,0,0,0,0,0
Bitch don't ask no questions,293,1.0,1,0,0,0,0,0,0
She wants nothing more but to be a little whore~,294,1.0,1,0,0,0,0,0,0
"Most of us, need a bad bitch with some good throat",295,1.0,1,0,0,0,0,0,0
bitch make up your mind😂,296,1.0,1,0,0,0,0,0,0
Bitch get out my face 😂,297,1.0,1,0,0,0,0,0,0
Lady C more like lady cunt,298,1.0,1,0,0,0,0,0,0
you don't ever trust no bitch ever,299,1.0,1,0,0,0,0,0,0
@bruhitszach missed you hoe 💕,302,1.0,1,0,0,0,0,0,0
I might just tell this hoe my secrets.,303,2.0,0,1,0,0,0,0,0
"I'm that bitch that, you can't fuck with",304,1.0,1,0,0,0,0,0,0
Bitch I ain't no lame let me talk to this🐱,305,4.0,0,0,0,1,0,0,0
@eleanasalas you're a dumb bitch 😂,306,1.0,1,0,0,0,0,0,0
I don't give a fuck bitch i don't like you,307,1.0,1,0,0,0,0,0,0
"""Heartless bitch"" 🤔🤔🤔",308,1.0,1,0,0,0,0,0,0
I seen that money make a bitch evil,309,1.0,1,0,0,0,0,0,0
And Yo' Nigga Hoe 😂😂😂😂,310,1.0,1,0,0,0,0,0,0
paybacks a bitch and you know that shit,311,1.0,1,0,0,0,0,0,0
Bengals 🐅 🏉 Bitch ❗️❗️❗️❗️ #WhoDey,312,1.0,1,0,0,0,0,0,0
I'm cute as fuck fuck that bitch,313,7.0,0,0,0,0,0,0,1
@RonnieRadke oh shit bitch 😂,314,1.0,1,0,0,0,0,0,0
"FUCK YOU, YOU BITCH ASS 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼 @haeevino",316,1.0,1,0,0,0,0,0,0
@SEXURXUHLS can call you a bitch again if you'd like?,317,1.0,1,0,0,0,0,0,0
I want but I don't need the bitch ...,318,1.0,1,0,0,0,0,0,0
@MafiaGirlzWorld @mafiaamirer fucking dumb ass bitch,319,1.0,1,0,0,0,0,0,0
"Love the irony of what starts the fight over Claire at the inn. ""They called you a whore."" Only we can call you that. #Outlander Rent 105",320,1.0,1,0,0,0,0,0,0
@DannyxOcean tried so hard to not make hisself look like a hoe #ArtificialIgnorance,321,1.0,1,0,0,0,0,0,0
@RooneyTheLegend 11 11 11 ELEVEN - ONE REMEMBER BITCH?,322,1.0,1,0,0,0,0,0,0
I'm too clean I'm too holy bitch I'm Godly,323,1.0,1,0,0,0,0,0,0
I can care less about what a bitch or a nigga have to say about me 👌🏼💯 .,325,3.0,0,0,1,0,0,0,0
A hoe gon be a hoe regardless 💯,326,1.0,1,0,0,0,0,0,0
Just Gone Start Coming Even Harder  To Make Every Mad Bitch More Mad 😂😎😎😜😜😜😊😊😊✌️,327,1.0,1,0,0,0,0,0,0
@TommyJoe__ @_OhThereSheGo y'all some hoe ass niggas,328,1.0,1,0,0,0,0,0,0
@_HannahNicole24 bitch mom said you could come over,329,1.0,1,0,0,0,0,0,0
"I like your hoe costume,I really do",333,1.0,1,0,0,0,0,0,0
If u go back to ur ex bc u see him happy n moving on .. ur a bitter ex bye bitch,334,2.0,0,1,0,0,0,0,0
"Hoe = a bitch who aint loyal, fucks with any nigga in sight that she talks to, touchy and feely all 25/8 of the week...",335,1.0,1,0,0,0,0,0,0
"""Why don't you go back to Whore island?""",336,1.0,1,0,0,0,0,0,0
"@David_Cameron Sorry to burst your egotistic bubble but he thinks you're an insignificant cunt, Dave. Sorry, but he just does....you cunt",337,1.0,1,0,0,0,0,0,0
My main chick then my side bitch,338,1.0,1,0,0,0,0,0,0
